id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	AL627309.1_ENSG00000237683	0.0593366033388134	0.023077083229245	0.0597287352414295	2.58822723166924	1.37196428333169	1	1
2	RP11-206L10.9_ENSG00000237491	0.00276752226390491	0	0.00279745188701074	Inf	Inf	0.303910829191085	0.655262800119663
3	LINC00115_ENSG00000225880	0.0205556789883709	0	0.0207779802622686	Inf	Inf	6.49275423422168e-05	0.000416313940106666
4	RP11-54O7.1_ENSG00000230699	0.00416272126410807	0	0.00420773939464104	Inf	Inf	0.19598016133431	0.469934091953441
5	RP11-54O7.3_ENSG00000223764	0.001827731631276	0	0.00184749780247403	Inf	Inf	0.728225781407432	1
6	SAMD11_ENSG00000187634	0.0498174048245031	0	0.0503561597136522	Inf	Inf	8.50191672538769e-13	1.53951279818513e-11
7	NOC2L_ENSG00000188976	1.16518536540902	1.2094719405765	1.16470642418397	0.962987552756957	-0.0544109444737334	1	1
8	KLHL17_ENSG00000187961	0.0408646454384526	0	0.0413065798908969	Inf	Inf	2.16668769464269e-10	3.00044867991621e-09
9	PLEKHN1_ENSG00000187583	0.0132722421514118	0	0.0134157760302686	Inf	Inf	0.00120909212346029	0.00606942940388986
10	HES4_ENSG00000188290	0.0273405041056374	0	0.0276361804924464	Inf	Inf	8.27254091373152e-07	7.2591774035621e-06
11	ISG15_ENSG00000187608	0.667890948436421	0.380194149008797	0.671002271834945	1.76489373543573	0.819581321187598	1	1
12	AGRN_ENSG00000188157	0.143764205357754	0	0.145318956529438	Inf	Inf	1.12714606393561e-33	1.51103875277016e-31
13	C1orf159_ENSG00000131591	0.0316861343874499	0	0.0320288069911235	Inf	Inf	2.77864501491525e-08	3.00730827157008e-07
14	SDF4_ENSG00000078808	0.742619777277301	0.448649781926225	0.74579894272794	1.66231874565043	0.733197041962965	1	1
15	B3GALT6_ENSG00000176022	0.0572144031603402	0	0.0578331535657652	Inf	Inf	7.47702210422018e-14	1.50607239430082e-12
16	FAM132A_ENSG00000184163	0.0140766884960284	0.025641176293623	0.0139516232831092	0.544110111148801	-0.87802945676952	1.24523612458494e-19	4.24471194348367e-18
17	UBE2J2_ENSG00000160087	0.910032931073647	0.776869593648284	0.911473038187738	1.17326388577951	0.230527535010707	0.0719158687827148	0.211206527004906
18	ACAP3_ENSG00000131584	0.0576807996660042	0	0.0583045939591747	Inf	Inf	2.11741135055326e-14	4.52196295520431e-13
19	PUSL1_ENSG00000169972	0.671346433734088	0.460107175596439	0.673630900046671	1.4640738849018	0.549988361471505	0.556659839772379	1
20	CPSF3L_ENSG00000127054	0.618217665783974	0.609176559348106	0.618315441657944	1.01500202555334	0.0214826064772953	1	1
21	GLTPD1_ENSG00000224051	0.0987345304340205	0.0946222630933993	0.0987790029259749	1.04392982895022	0.0620247398504341	1	1
22	DVL1_ENSG00000107404	0.101393239820588	0	0.102489766303099	Inf	Inf	2.14320946193411e-26	1.46113763018098e-24
23	MXRA8_ENSG00000162576	0.0330493580309724	0.0673081517423292	0.0326788631673125	0.4855112244415	-1.04242344546555	0.128450161965727	0.339041269662351
24	AURKAIP1_ENSG00000175756	7.27936707687357	7.70626099145121	7.27475039351889	0.944005192867072	-0.0831332991742211	1.31214912190707e-12	2.33103729863959e-11
25	CCNL2_ENSG00000221978	0.352702831607234	0.21826446063749	0.35415672768842	1.62260372877026	0.698310708855546	0.862071450973091	1
26	RP4-758J18.2_ENSG00000224870	0.197249764893638	0.109302577652131	0.198200877808496	1.81332299810252	0.858635927981257	1	1
27	MRPL20_ENSG00000242485	5.4920749601839	6.82941048337778	5.4776122226308	0.802062233037954	-0.318213913304491	0.028458290660732	0.0972152271757296
28	RP4-758J18.13_ENSG00000272455	0.00514638040327199	0	0.00520203640569627	Inf	Inf	0.118419509596524	0.317770636937484
29	ANKRD65_ENSG00000235098	0.00441281896543773	0	0.0044605418004777	Inf	Inf	0.165706697701144	0.412405452172598
30	VWA1_ENSG00000179403	0.100719723356428	0.158832316175231	0.100091259396643	0.630169362299153	-0.666188480064664	0.0054669712061678	0.0231338439395212
31	ATAD3C_ENSG00000215915	0.00254723568491825	0	0.00257478299863118	Inf	Inf	1	1
32	ATAD3B_ENSG00000160072	0.233522129834413	0.41153026479275	0.231597044548357	0.562770382550093	-0.829381690393323	0.0826658102252243	0.236507831872848
33	ATAD3A_ENSG00000197785	0.406554898274839	0.392773773237419	0.406703935514295	1.03546612127907	0.0502803517600168	1	1
34	SSU72_ENSG00000160075	3.59655117565411	3.85291330899796	3.59377872387309	0.932743209010258	-0.100448143584668	0.465746786881879	0.896713110636129
35	AL645728.1_ENSG00000215014	0.01204711684127	0	0.0121774014902045	Inf	Inf	0.00178482210291297	0.00856338857376559
36	C1orf233_ENSG00000228594	0.0989269815484441	0.0515523305986722	0.09943931905199	1.92890055400427	0.947778766018857	1	1
37	RP11-345P4.9_ENSG00000272106	0.0546705384289927	0.0303195133728527	0.0549338848207007	1.81183266845856	0.857449721646678	1	1
38	MIB2_ENSG00000197530	0.231500518555503	0.278163704117302	0.230995875259585	0.830431403667871	-0.268067093075905	0.0109788340239384	0.0427392238125645
39	MMP23B_ENSG00000189409	0.0415974651579896	0.0778205803509898	0.0412057269596794	0.529496526160965	-0.91730687564952	0.645578792129266	1
40	CDK11B_ENSG00000248333	0.112126513715423	0.0764664062300987	0.112512163215291	1.47139337079247	0.557182996574744	1	1
41	SLC35E2B_ENSG00000189339	0.0930545445465096	0.0461537242925376	0.0935617577645795	2.02717677064486	1.01947189788878	1	1
42	CDK11A_ENSG00000008128	0.297629281211434	0.288009275822969	0.29773331764117	1.03376294666349	0.047905397566079	0.14157122776932	0.365805927535464
43	SLC35E2_ENSG00000215790	0.0106726938821675	0	0.010788114708075	Inf	Inf	0.00418161259246006	0.0182028092055407
44	NADK_ENSG00000008130	0.147604716792241	0.102729444637685	0.148090024534793	1.4415538315922	0.52762471204685	1	1
45	GNB1_ENSG00000078369	0.84142977261002	0.349558039580573	0.846749164536143	2.42234212536533	1.27640264195632	1	1
46	RP1-140A9.1_ENSG00000231050	0.00210710685789631	0	0.00212989435808125	Inf	Inf	0.716705335431378	1
47	TMEM52_ENSG00000178821	0.24775264346347	0.330456428441006	0.246858235802839	0.747022041506173	-0.420777283328654	0.000129828719132673	0.000788711940717261
48	GABRD_ENSG00000187730	0.00662260989128713	0.0298460450929234	0.00637145792337962	0.213477460867681	-2.22784433797346	0.278873214729383	0.616356940229683
49	PRKCZ_ENSG00000067606	0.153160982307706	0.160992762271642	0.153076284805675	0.950827121950924	-0.0727450387399266	1	1
50	RP11-181G12.2_ENSG00000182873	0.00752711963680802	0	0.007608522361816	Inf	Inf	0.0193207852209419	0.0697814096965557
51	C1orf86_ENSG00000162585	2.3594129152136	2.55035679304948	2.35734793515091	0.924320840744882	-0.113534382847768	3.36963977431332e-07	3.13811227785292e-06
52	AL590822.1_ENSG00000203301	0.00459709986157832	0	0.00464681561925492	Inf	Inf	0.132774088974233	0.348035662406497
53	SKI_ENSG00000157933	0.134183624491735	0	0.135634765593792	Inf	Inf	1.56624048871516e-35	2.49862345164729e-33
54	MORN1_ENSG00000116151	0.0223689380329485	0	0.0226108489629293	Inf	Inf	9.19791400343156e-06	6.8599496071409e-05
55	RER1_ENSG00000157916	1.42831881306262	1.38543056651954	1.42878263193463	1.03129140244393	0.0444520392629758	1	1
56	PEX10_ENSG00000157911	0.288920089752416	0.40952392650639	0.287615808509139	0.702317471320327	-0.50980476982069	0.0135048051624574	0.0510405488644118
57	PANK4_ENSG00000157881	0.0619844101564963	0.034109707466908	0.0622858636828391	1.82604508535485	0.868722386140795	1	1
58	RP3-395M20.12_ENSG00000272449	0.0573826815936432	0.0192942477855611	0.0577945924510318	2.995431233877	1.58276371392922	1	1
59	FAM213B_ENSG00000157870	0.271746079152506	0.317871819486229	0.271247248107252	0.85332272783937	-0.228836620873179	0.00127186702941548	0.00633076278323407
60	RP13-436F16.1_ENSG00000237058	0.0068667843974459	0	0.00694104586650253	Inf	Inf	0.04022242213596	0.129656152825817
61	TTC34_ENSG00000215912	0.002078496032126	0	0.00210097411791408	Inf	Inf	0.650796572289129	1
62	LINC00982_ENSG00000177133	0.00241978252264521	0	0.00244595148245645	Inf	Inf	0.527055511717682	0.982256609629928
63	PRDM16_ENSG00000142611	0.00357963281856725	0	0.00361834508567862	Inf	Inf	0.58065100087684	1
64	ARHGEF16_ENSG00000130762	0.0713211368206289	0.0582929255509958	0.0714620316051547	1.22591259453325	0.293856121011842	0.0624121329331845	0.187966916496714
65	MEGF6_ENSG00000162591	0.0276418038264097	0.025641176293623	0.0276634397961767	1.0788678132156	0.109518111442429	0.351377663766524	0.728463660827467
