id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	AL627309.1_ENSG00000237683	0.0593366033388134	0.05359544876343	0.0647103571525199	1.20738530314675	0.271886145217764	1	1
2	RP11-206L10.9_ENSG00000237491	0.00276752226390491	0.00135208521417439	0.00409237951067967	3.02671715345882	1.59775386169719	1	1
3	LINC00115_ENSG00000225880	0.0205556789883709	0.018994233540795	0.0220172009381167	1.15915184947206	0.21306957249656	1	1
4	RP11-54O7.1_ENSG00000230699	0.00416272126410807	0.00384108073684323	0.00446377865375632	1.16211528982982	0.216753201113384	1	1
5	RP11-54O7.3_ENSG00000223764	0.001827731631276	0.00210430166447943	0.00156886048416278	0.745549229297832	-0.423624476759671	0.936327461278475	1
6	SAMD11_ENSG00000187634	0.0498174048245031	0.0498027868014299	0.0498310873784575	1.00056825287991	0.000819582768735016	0.884198062437237	1
7	NOC2L_ENSG00000188976	1.16518536540902	1.15154640921783	1.17795150711187	1.02293012047337	0.032707593480178	1	1
8	KLHL17_ENSG00000187961	0.0408646454384526	0.0407892937517	0.0409351750520938	1.0035764605605	0.00515053704854203	1	1
9	PLEKHN1_ENSG00000187583	0.0132722421514118	0.012354097002745	0.0141316313090107	1.14388217170957	0.193938451552403	1	1
10	HES4_ENSG00000188290	0.0273405041056374	0.0237053040140462	0.0307430723694381	1.296885808814	0.375051455448997	1	1
11	ISG15_ENSG00000187608	0.667890948436421	0.680224515816204	0.656346658194195	0.964897093434867	-0.0515530081623041	1	1
12	AGRN_ENSG00000188157	0.143764205357754	0.131534640344891	0.155211148784366	1.18000207684754	0.238789398786281	1	1
13	C1orf159_ENSG00000131591	0.0316861343874499	0.0312881614959268	0.032058639310544	1.02462521854209	0.03509630560887	1	1
14	SDF4_ENSG00000078808	0.742619777277301	0.715899614162136	0.767630004150246	1.07225927904522	0.100653800724791	1	1
15	B3GALT6_ENSG00000176022	0.0572144031603402	0.0519341969992268	0.0621567065982414	1.19683580741928	0.259225244119462	1	1
16	FAM132A_ENSG00000184163	0.0140766884960284	0.0116030991047541	0.0163919824408908	1.41272450514316	0.498480153700856	0.00601491904807377	0.114233337588001
